<proies>
x = 4, y = 11, dir = [1 -1], e = 36.000000
x = 6, y = 13, dir = [0 1], e = 18.000000
x = 11, y = 27, dir = [1 0], e = 3.500000
x = 13, y = 16, dir = [0 0], e = 9.000000
x = 17, y = 23, dir = [0 0], e = -30.000000
x = 10, y = 48, dir = [0 -1], e = 8.000000
x = 10, y = 40, dir = [0 -1], e = -35.000000
x = 8, y = 47, dir = [-1 -1], e = -23.500000
x = 0, y = 26, dir = [0 0], e = -23.500000
x = 7, y = 22, dir = [0 -1], e = -7.000000
x = 3, y = 6, dir = [1 -1], e = -10.000000
x = 13, y = 24, dir = [-1 -1], e = -2.750000
x = 15, y = 30, dir = [1 0], e = 35.000000
x = 19, y = 9, dir = [0 0], e = -0.500000
x = 5, y = 25, dir = [0 0], e = 5.000000
x = 16, y = 4, dir = [1 0], e = 11.000000
x = 2, y = 21, dir = [0 -1], e = 6.000000
x = 5, y = 23, dir = [1 1], e = 5.500000
x = 2, y = 5, dir = [-1 0], e = 20.000000
x = 5, y = 23, dir = [1 1], e = 5.500000
x = 2, y = 21, dir = [0 -1], e = 12.000000
x = 16, y = 4, dir = [1 0], e = 22.000000
x = 5, y = 25, dir = [0 0], e = 20.000000
x = 19, y = 9, dir = [0 0], e = -0.500000
x = 15, y = 30, dir = [1 0], e = 17.500000
x = 13, y = 24, dir = [-1 -1], e = -5.500000
x = 3, y = 6, dir = [1 -1], e = -10.000000
x = 7, y = 22, dir = [0 -1], e = -14.000000
x = 1, y = 26, dir = [1 0], e = -23.500000
x = 8, y = 47, dir = [-1 -1], e = -23.500000
x = 10, y = 40, dir = [0 -1], e = -17.500000
x = 10, y = 48, dir = [0 -1], e = 16.000000
x = 17, y = 23, dir = [0 0], e = -30.000000
x = 13, y = 16, dir = [0 0], e = 4.500000
x = 11, y = 27, dir = [1 0], e = 7.000000
x = 6, y = 13, dir = [0 1], e = 36.000000
x = 4, y = 11, dir = [1 -1], e = 18.000000
x = 6, y = 1, dir = [1 1], e = -1.000000
x = 7, y = 13, dir = [1 1], e = 9.000000
x = 10, y = 27, dir = [0 0], e = 7.000000
x = 9, y = 48, dir = [-1 -1], e = 4.000000
x = 10, y = 49, dir = [1 1], e = -11.750000
x = 19, y = 26, dir = [-1 0], e = -11.750000
x = 6, y = 22, dir = [-1 -1], e = -7.000000
x = 1, y = 7, dir = [-1 0], e = -2.500000
x = 13, y = 24, dir = [-1 -1], e = -5.500000
x = 4, y = 24, dir = [-1 -1], e = 10.000000
x = 5, y = 21, dir = [1 -1], e = 11.000000
x = 4, y = 23, dir = [0 1], e = 5.500000
x = 14, y = 30, dir = [0 0], e = 17.500000
